['pl', 'vs', 'je', 'jy', 'kz', 'ks', 'rd', 'ff', 'bw', 'tm']
['jd', 'ic', 'on', 'uy', 'bf', 'ew', 'sc', 'mo', 'na', 'ou']
['um', 'ah', 'nl', 'hy', 'pd', 'cp', 'sf', 'fr', 'lj', 'ej']
['u', 'rt', 'rb', 'qq', 'uo', 'iq', 'ui', 'mk', 'ey', 'sr']
['rj', 'pz', 'rw', 'fo', 'mu', 'hs', 'ug', 'ds', 'mm', 'oo']
['pm', 'eg', 'en', 'to', 'ue', 'nv', 'hh', 'if', 'qz', 'hl']
['tz', 'dv', 'vq', 'mh', 'tr', 'cl', 'd', 'fe', 'c', 'hu']
['qu', 'jw', 'bn', 'in', 'qo', 'tb', 'cm', 'qv', 'zz', 'sk']
['pu', 'ho', 'ir', 'ni', 'ca', 'qi', 'w', 'qg', 'ef', 'tv']
['jl', 'dk', 'au', 'jt', 'qn', 'si', 'mf', 'ox', 'jq', 'rr']
['dj', 'os', 'uf', 'uj', 'kg', 'fv', 'lo', 'qm', 'rf', 'z']
['cu', 'rm', 'lt', 'gh', 'kq', 'vl', 'of', 'fb', 'ln', 'uq']
['vh', 'gq', 'ag', 'wb', 'qd', 'dl', 'a', 'bm', 'i', 'dt']
['ua', 'ns', 'hj', 'di', 'mz', 'gb', 'ex', 'fd', 'qf', 'eh']
['tx', 'io', 'rg', 'cs', 'lh', 'm', 'vd', 'vw', 'uc', 'ez']
['th', 'ms', 'pf', 'ur', 'vc', 'gc', 'aw', 'bv', 'cq', 'ku']
['sj', 'hq', 'ma', 'go', 'fz', 'ry', 'kl', 'q', 'uv', 'oy']
['rv', 'pi', 'pq', 'gd', 'gg', 'ju', 'bh', 'bi', 'bj', 'rp']
['ql', 'rx', 'mc', 'mw', 'mx', 'iv', 're', 'ia', 've', 'jj']
['pp', 'od', 'oe', 'ad', 'cr', 'ro', 'gx', 'co', 'ub', 'cb']
['mn', 'cw', 'ha', 'y', 'ne', 'hv', 'tf', 'hc', 'pj', 'hp']
['mj', 'iw', 'cj', 'tj', 'rq', 'mr', 'ph', 'bk', 'ba', 'et']
['kb', 'ep', 'k', 'up', 'wa', 'ls', 'fl', 'ny', 'nr', 'p']
['ka', 'pn', 'ge', 'us', 'tq', 'gf', 'hw', 'uw', 'gz', 'vp']
['ie', 'lz', 'fm', 'fy', 'tc', 'hz', 'bx', 'dg', 'te', 'jz']
['hg', 'dp', 'vo', 'tk', 'ty', 'ke', 'nk', 'bg', 'mq', 'rc']
['gm', 'vt', 'qy', 'lv', 'h', 'nj', 'pr', 'dw', 'ok', 'tw']
['ga', 'j', 'e', 'pa', 'rn', 'bp', 'nz', 'qj', 'er', 'ak']
['eo', 'po', 'ib', 'ld', 'vn', 'fq', 'ky', 'ta', 'gy', 'li']
['eb', 'mg', 'gi', 'gv', 'ts', 'qt', 'ov', 'rl', 'az', 'du']
['dh', 'pt', 'jv', 'nb', 'fj', 'ng', 'kd', 'df', 'b', 'lg']
['cz', 'hr', 'oi', 'ji', 'dr', 'sg', 'fu', 'il', 'lf', 't']
['cv', 'ob', 'fk', 'dq', 'db', 'ml', 'qr', 'sw', 'pc', 'bz']
['an', 'qs', 'uu', 'ol', 'nn', 'eu', 'as', 'ae', 'py', 'ow']
['v', 'su', 'g', 'ck', 'om', 'cd', 'qc', 'ux', 'td', 'ce']
['uk', 'al', 'fa', 'ec', 'em', 'ii', 'cg', 'ti', 'ee', 'cc']
['tl', 'nx', 'ft', 'dy', 'le', 'ud', 'ac', 'tn', 'hm', 'sx']
['sy', 'ay', 'bq', 'hi', 'ss', 'qb', 'iy', 'sm', 'sb', 'ut']
['sv', 'bl', 'fh', 'vx', 'cx', 'pk', 'cf', 'lc', 'iu', 'ps']
['sl', 'he', 'fp', 'gk', 'r', 'uz', 'lp', 'ht', 'gn', 'ip']
['rs', 'pb', 'vi', 'la', 'kc', 'kp', 'n', 'bc', 'bd', 'se']
['qp', 'iz', 'dm', 'ek', 'lb', 'gu', 'vu', 'nm', 'bo', 'ev']
['px', 'jg', 'qw', 'op', 'oc', 'vm', 'kr', 'im', 'fs', 'ly']
['oq', 'oz', 'vg', 'bb', 'or', 'bs', 'jb', 'sp', 'kx', 'lr']
['oh', 'hb', 'bt', 'rk', 'ei', 'fi', 'no', 'mp', 'dn', 'aa']
['nw', 'l', 'mv', 'gw', 'gp', 'ai', 'vy', 'el', 'fw', 'jn']
['mb', 'am', 'gl', 'ar', 'dd', 'do', 'ax', 'ki', 'qx', 'gs']
['lu', 'es', 'vz', 'tu', 'hx', 'ra', 'ih', 'cy', 'vv', 'jk']
['lq', 'vr', 'ci', 'sn', 's', 'pe', 'pg', 'qk', 'sh', 'x']
['kw', 'lk', 'de', 'by', 'nf', 'qa', 'vj', 'fx', 'my', 'va']
['kn', 'ea', 'af', 'tg', 'ap', 'tp', 'pw', 'rh', 'vk', 'st']
['kh', 'nq', 'hf', 'uh', 'ch', 'jr', 'aq', 'me', 'dc', 'vb']
['kf', 'ru', 'ed', 'fc', 'av', 'cn', 'ja', 'qe', 'fn', 'jf']
['jx', 'np', 'ri', 'eq', 'sq', 'nd', 'sz', 'pv', 'sd', 'gt']
['it', 'ct', 'js', 'fg', 'da', 'gj', 'kj', 'jp', 'tt', 'dx']
['is', 'kk', 'rz', 'lw', 'so', 'o', 'aj', 'll', 'hd', 'dz']
['ik', 'at', 'un', 'jc', 'bu', 'ao', 'ix', 'vf', 'jo', 'kt']
['ig', 'gr', 'mi', 'sa', 'lm', 'ko', 'ab', 'br', 'mt', 'ij']
['hn', 'oj', 'md', 'be', 'nc', 'km', 'jh', 'qh', 'jm', 'nu']
['hk', 'kv', 'ul', 'og', 'lx', 'oa', 'f', 'nh', 'nt', 'ot']
