['a450', 'a293', 'a48', 'a393', 'a89', 'a224', 'a395', 'a502', 'a373', 'a458', 'a117', 'a241', 'a216', 'a409', 'a380', 'a120', 'a412', 'a212', 'a130', 'a400', 'a414', 'a430', 'a370', 'a87', 'a471']
['a250', 'a596', 'a55', 'a257', 'a56', 'a591', 'a403', 'a122', 'a31', 'a256', 'a158', 'a485', 'a296', 'a437', 'a260', 'a86', 'a462', 'a44', 'a27', 'a17', 'a306', 'a614', 'a474', 'a338', 'a601']
['a146', 'a137', 'a483', 'a542', 'a543', 'a600', 'a183', 'a284', 'a4', 'a443', 'a536', 'a344', 'a461', 'a206', 'a140', 'a71', 'a231', 'a355', 'a464', 'a452', 'a582', 'a540', 'a199', 'a192', 'a362']
['a277', 'a124', 'a589', 'a230', 'a259', 'a353', 'a180', 'a214', 'a567', 'a372', 'a594', 'a110', 'a162', 'a428', 'a97', 'a194', 'a142', 'a451', 'a119', 'a328', 'a490', 'a402', 'a566', 'a468', 'a298']
['a321', 'a624', 'a615', 'a368', 'a435', 'a12', 'a374', 'a270', 'a381', 'a622', 'a509', 'a171', 'a0', 'a63', 'a551', 'a21', 'a248', 'a617', 'a244', 'a108', 'a416', 'a161', 'a85', 'a169', 'a166']
['a413', 'a608', 'a383', 'a69', 'a102', 'a495', 'a475', 'a217', 'a15', 'a424', 'a422', 'a356', 'a345', 'a586', 'a249', 'a533', 'a423', 'a339', 'a330', 'a25', 'a80', 'a477', 'a616', 'a323', 'a494']
['a191', 'a538', 'a273', 'a115', 'a317', 'a337', 'a261', 'a134', 'a553', 'a34', 'a211', 'a304', 'a240', 'a176', 'a74', 'a159', 'a565', 'a118', 'a274', 'a584', 'a177', 'a10', 'a103', 'a150', 'a278']
['a486', 'a314', 'a193', 'a398', 'a442', 'a262', 'a433', 'a420', 'a576', 'a516', 'a275', 'a228', 'a197', 'a607', 'a396', 'a181', 'a365', 'a148', 'a235', 'a266', 'a329', 'a125', 'a399', 'a541', 'a526']
['a378', 'a202', 'a215', 'a555', 'a11', 'a167', 'a245', 'a469', 'a556', 'a8', 'a554', 'a341', 'a504', 'a371', 'a522', 'a488', 'a267', 'a497', 'a609', 'a436', 'a410', 'a547', 'a324', 'a36', 'a575']
['a470', 'a404', 'a377', 'a295', 'a38', 'a394', 'a30', 'a283', 'a572', 'a311', 'a336', 'a473', 'a592', 'a105', 'a109', 'a548', 'a478', 'a604', 'a112', 'a19', 'a236', 'a53', 'a568', 'a204', 'a358']
['a459', 'a3', 'a444', 'a157', 'a237', 'a343', 'a560', 'a6', 'a156', 'a128', 'a285', 'a95', 'a37', 'a113', 'a585', 'a401', 'a517', 'a301', 'a415', 'a138', 'a334', 'a226', 'a507', 'a619', 'a593']
['a94', 'a189', 'a524', 'a75', 'a51', 'a49', 'a611', 'a432', 'a271', 'a286', 'a407', 'a170', 'a351', 'a152', 'a195', 'a580', 'a455', 'a349', 'a417', 'a218', 'a456', 'a292', 'a310', 'a172', 'a340']
['a493', 'a405', 'a597', 'a484', 'a92', 'a81', 'a316', 'a129', 'a363', 'a91', 'a46', 'a22', 'a9', 'a186', 'a208', 'a512', 'a595', 'a66', 'a359', 'a499', 'a500', 'a530', 'a104', 'a182', 'a411']
['a406', 'a155', 'a47', 'a557', 'a258', 'a251', 'a307', 'a5', 'a290', 'a123', 'a539', 'a299', 'a308', 'a347', 'a40', 'a88', 'a78', 'a518', 'a333', 'a391', 'a2', 'a457', 'a154', 'a276', 'a454']
['a300', 'a291', 'a506', 'a29', 'a272', 'a209', 'a294', 'a127', 'a325', 'a427', 'a73', 'a467', 'a72', 'a98', 'a561', 'a60', 'a387', 'a207', 'a463', 'a558', 'a139', 'a318', 'a620', 'a532', 'a50']
['a143', 'a264', 'a61', 'a537', 'a52', 'a350', 'a523', 'a213', 'a570', 'a265', 'a520', 'a303', 'a62', 'a255', 'a174', 'a234', 'a282', 'a623', 'a392', 'a552', 'a70', 'a519', 'a190', 'a309', 'a445']
['a20', 'a242', 'a352', 'a268', 'a434', 'a305', 'a93', 'a448', 'a101', 'a579', 'a247', 'a26', 'a68', 'a421', 'a232', 'a64', 'a508', 'a221', 'a501', 'a571', 'a364', 'a254', 'a223', 'a550', 'a178']
['a438', 'a587', 'a41', 'a602', 'a521', 'a419', 'a562', 'a187', 'a168', 'a408', 'a603', 'a492', 'a297', 'a57', 'a18', 'a503', 'a544', 'a476', 'a385', 'a496', 'a505', 'a263', 'a281', 'a481', 'a491']
['a559', 'a388', 'a342', 'a397', 'a23', 'a153', 'a379', 'a482', 'a184', 'a65', 'a42', 'a203', 'a106', 'a577', 'a100', 'a319', 'a114', 'a253', 'a59', 'a269', 'a225', 'a440', 'a465', 'a514', 'a621']
['a390', 'a179', 'a498', 'a534', 'a222', 'a346', 'a513', 'a511', 'a35', 'a82', 'a581', 'a229', 'a605', 'a583', 'a196', 'a96', 'a58', 'a489', 'a315', 'a439', 'a386', 'a144', 'a535', 'a312', 'a16']
['a527', 'a472', 'a141', 'a76', 'a149', 'a175', 'a147', 'a446', 'a173', 'a515', 'a200', 'a164', 'a545', 'a135', 'a210', 'a145', 'a546', 'a32', 'a449', 'a131', 'a510', 'a24', 'a136', 'a83', 'a606']
['a460', 'a201', 'a525', 'a563', 'a84', 'a487', 'a332', 'a28', 'a599', 'a531', 'a610', 'a441', 'a198', 'a13', 'a375', 'a243', 'a90', 'a54', 'a45', 'a431', 'a302', 'a447', 'a348', 'a279', 'a219']
['a133', 'a132', 'a111', 'a99', 'a220', 'a588', 'a160', 'a590', 'a320', 'a369', 'a252', 'a185', 'a528', 'a360', 'a33', 'a188', 'a376', 'a163', 'a107', 'a1', 'a479', 'a43', 'a426', 'a466', 'a233']
['a116', 'a389', 'a613', 'a425', 'a246', 'a205', 'a578', 'a280', 'a618', 'a453', 'a77', 'a238', 'a239', 'a331', 'a529', 'a357', 'a382', 'a327', 'a564', 'a313', 'a335', 'a126', 'a67', 'a289', 'a326']
['a121', 'a598', 'a361', 'a39', 'a227', 'a165', 'a569', 'a79', 'a612', 'a418', 'a367', 'a14', 'a7', 'a322', 'a354', 'a151', 'a384', 'a480', 'a549', 'a573', 'a288', 'a574', 'a287', 'a366', 'a429']
