['G1', 'G0', 'G2']
['G4', 'G3', 'G5']
['G6', 'G7', 'G8']
['G11', 'G9', 'G10']
['G13', 'G14', 'G12']
['G17', 'G16', 'G15']
['G18', 'G19', 'G20']
['G22', 'G21', 'G23']
['G26', 'G25', 'G24']
['G27', 'G29', 'G28']
['G32', 'G30', 'G31']
['G35', 'G34', 'G33']
['G37', 'G38', 'G36']
['G40', 'G41', 'G39']
['G42', 'G44', 'G43']
['G45', 'G46', 'G47']
['G49', 'G50', 'G48']
['G52', 'G51', 'G53']
['G56', 'G55', 'G54']
['G59', 'G57', 'G58']
['G61', 'G62', 'G60']
['G65', 'G64', 'G63']
['G67', 'G68', 'G66']
['G71', 'G69', 'G70']
['G74', 'G73', 'G72']
['G77', 'G76', 'G75']
['G79', 'G78', 'G80']
['G82', 'G81', 'G83']
['G84', 'G85', 'G86']
['G87', 'G89', 'G88']
['G90', 'G91', 'G92']
['G94', 'G95', 'G93']
['G97', 'G96', 'G98']
['G101', 'G99', 'G100']
['G104', 'G103', 'G102']
['G106', 'G107', 'G105']
['G108', 'G109', 'G110']
['G111', 'G113', 'G112']
['B0', 'G115', 'G114']
['F0', 'H0', 'B1']
['F1', 'B2', 'H1']
['B3', 'F2', 'H2']
['B4', 'H3', 'F3']
['B5', 'H4', 'F4']
['H5', 'F5', 'B6']
['H6', 'F6', 'B7']
['F7', 'B8', 'H7']
['H8', 'F8', 'B9']
['B10', 'H9', 'F9']
['H10', 'F10', 'B11']
['F11', 'B12', 'H11']
['H12', 'F12', 'B13']
['F13', 'B14', 'H13']
['F14', 'B15', 'H14']
['H15', 'F15', 'B16']
['H16', 'B17', 'F16']
['H17', 'B18', 'F17']
['B19', 'F18', 'H18']
['H19', 'F19', 'B20']
['B21', 'F20', 'H20']
['H21', 'F21', 'B22']
['F22', 'B23', 'H22']
['B24', 'H23', 'F23']
['B25', 'F24', 'H24']
['F25', 'B26', 'H25']
['H26', 'F26', 'B27']
['H27', 'B28', 'F27']
['B29', 'F28', 'H28']
['F29', 'B30', 'H29']
['B31', 'F30', 'H30']
['H31', 'F31', 'B32']
['H32', 'F32', 'B33']
['F33', 'B34', 'H33']
['H34', 'B35', 'F34']
['F35', 'B36', 'H35']
['F36', 'H36', 'B37']
['B38', 'H37', 'F37']
['B39', 'H38', 'F38']
['B40', 'F39', 'H39']
['H40', 'F40', 'B41']
['F41', 'B42', 'H41']
['B43', 'H42', 'F42']
['F43', 'H43', 'B44']
['F44', 'H44', 'B45']
['F45', 'B46', 'H45']
['B47', 'H46', 'F46']
['F47', 'B48', 'H47']
['F48', 'H48', 'B49']
['F49', 'H49', 'B50']
['F50', 'H50', 'B51']
['B52', 'F51', 'H51']
['H52', 'F52', 'B53']
['B54', 'H53', 'F53']
['H54', 'B55', 'F54']
['B56', 'H55', 'F55']
['H56', 'F56', 'B57']
['H57', 'F57', 'B58']
['H58', 'F58', 'B59']
['H59', 'F59', 'B60']
['B61', 'F60', 'H60']
['H61', 'F61', 'B62']
['B63', 'F62', 'H62']
['F63', 'B64', 'H63']
['F64', 'B65', 'H64']
['F65', 'H65', 'B66']
['F66', 'H66', 'B67']
['H67', 'B68', 'F67']
['B69', 'F68', 'H68']
['H69', 'F69', 'B70']
['F70', 'B71', 'H70']
['F71', 'B72', 'H71']
['B73', 'H72', 'F72']
['B74', 'F73', 'H73']
['F74', 'B75', 'H74']
['B76', 'F75', 'H75']
['F76', 'B77', 'H76']
['B78', 'F77', 'H77']
['H78', 'B79', 'F78']
['H79', 'B80', 'F79']
['H80', 'B81', 'F80']
['H81', 'B82', 'F81']
['B83', 'H82', 'F82']
['F83', 'B84', 'H83']
['F84', 'H84', 'B85']
['F85', 'B86', 'H85']
['B87', 'F86', 'H86']
['H87', 'F87', 'B88']
['H88', 'F88', 'B89']
['F89', 'B90', 'H89']
['H90', 'B91', 'F90']
['B92', 'H91', 'F91']
['B93', 'H92', 'F92']
['H93', 'B94', 'F93']
