['a83', 'a59', 'a337', 'a74', 'a53', 'a54', 'a2', 'a307', 'a351', 'a416']
['a292', 'a290', 'a298', 'a92', 'a291', 'a299', 'a295', 'a75', 'a297', 'a412']
['a470', 'a89', 'a88', 'a71', 'a80', 'a471', 'a446', 'a492', 'a94', 'a99']
['a261', 'a339', 'a296', 'a477', 'a474', 'a479', 'a206', 'a208', 'a264', 'a475']
['a449', 'a393', 'a294', 'a496', 'a91', 'a392', 'a448', 'a443', 'a447', 'a390']
['a61', 'a491', 'a375', 'a395', 'a441', 'a376', 'a63', 'a391', 'a444', 'a380']
['a233', 'a239', 'a7', 'a116', 'a124', 'a230', 'a253', 'a278', 'a289', 'a417']
['a79', 'a76', 'a139', 'a399', 'a135', 'a199', 'a494', 'a476', 'a57', 'a67']
['a33', 'a37', 'a231', 'a237', 'a236', 'a232', 'a235', 'a234', 'a238', 'a15']
['a480', 'a483', 'a481', 'a488', 'a489', 'a487', 'a482', 'a484', 'a486', 'a214']
['a270', 'a274', 'a277', 'a279', 'a271', 'a273', 'a13', 'a23', 'a148', 'a340']
['a272', 'a276', 'a275', 'a164', 'a173', 'a188', 'a311', 'a458', 'a464', 'a485']
['a38', 'a478', 'a85', 'a195', 'a472', 'a473', 'a493', 'a495', 'a372', 'a306']
['a98', 'a229', 'a151', 'a52', 'a497', 'a490', 'a499', 'a130', 'a154', 'a179']
['a228', 'a226', 'a445', 'a193', 'a72', 'a262', 'a227', 'a223', 'a190', 'a155']
['a225', 'a378', 'a133', 'a220', 'a377', 'a81', 'a222', 'a224', 'a132', 'a221']
['a93', 'a65', 'a373', 'a90', 'a60', 'a68', 'a97', 'a64', 'a267', 'a95']
['a336', 'a338', 'a138', 'a69', 'a62', 'a84', 'a334', 'a55', 'a96', 'a331']
['a39', 'a77', 'a35', 'a209', 'a383', 'a387', 'a73', 'a201', 'a207', 'a384']
['a30', 'a32', 'a34', 'a31', 'a156', 'a150', 'a153', 'a152', 'a381', 'a157']
['a36', 'a56', 'a51', 'a293', 'a394', 'a396', 'a58', 'a203', 'a442', 'a397']
['a137', 'a196', 'a202', 'a374', 'a158', 'a131', 'a136', 'a134', 'a371', 'a194']
['a78', 'a70', 'a197', 'a204', 'a498', 'a198', 'a205', 'a192', 'a379', 'a189']
['a389', 'a440', 'a333', 'a87', 'a385', 'a386', 'a86', 'a335', 'a382', 'a388']
['a260', 'a266', 'a50', 'a263', 'a332', 'a268', 'a265', 'a269', 'a191', 'a82']
['a250', 'a254', 'a258', 'a255', 'a259', 'a256', 'a252', 'a257', 'a251', 'a456']
['a160', 'a168', 'a162', 'a166', 'a161', 'a165', 'a169', 'a163', 'a167', 'a363']
['a360', 'a364', 'a369', 'a361', 'a368', 'a362', 'a365', 'a459', 'a454', 'a455']
['a420', 'a428', 'a426', 'a421', 'a429', 'a423', 'a422', 'a424', 'a450', 'a451']
['a40', 'a45', 'a48', 'a41', 'a46', 'a49', 'a47', 'a43', 'a44', 'a453']
['a350', 'a354', 'a352', 'a359', 'a357', 'a356', 'a358', 'a355', 'a457', 'a452']
['a120', 'a128', 'a122', 'a121', 'a129', 'a126', 'a127', 'a125', 'a123', 'a200']
['a0', 'a1', 'a9', 'a4', 'a8', 'a3', 'a6', 'a5', 'a10', 'a12']
['a16', 'a11', 'a19', 'a18', 'a17', 'a14', 'a141', 'a142', 'a149', 'a143']
['a110', 'a111', 'a113', 'a118', 'a114', 'a112', 'a119', 'a115', 'a117', 'a370']
['a140', 'a147', 'a144', 'a146', 'a170', 'a172', 'a176', 'a177', 'a174', 'a178']
['a145', 'a430', 'a431', 'a433', 'a439', 'a435', 'a438', 'a434', 'a436', 'a432']
['a320', 'a325', 'a323', 'a329', 'a321', 'a327', 'a324', 'a328', 'a326', 'a104']
['a171', 'a175', 'a300', 'a308', 'a303', 'a302', 'a305', 'a301', 'a304', 'a309']
['a400', 'a404', 'a405', 'a402', 'a401', 'a406', 'a408', 'a407', 'a409', 'a330']
['a280', 'a284', 'a288', 'a281', 'a287', 'a282', 'a286', 'a283', 'a285', 'a425']
['a210', 'a213', 'a216', 'a212', 'a211', 'a215', 'a218', 'a217', 'a219', 'a427']
['a42', 'a102', 'a240', 'a312', 'a322', 'a353', 'a366', 'a403', 'a413', 'a437']
['a341', 'a349', 'a344', 'a346', 'a342', 'a348', 'a347', 'a343', 'a345', 'a159']
['a460', 'a462', 'a466', 'a465', 'a461', 'a467', 'a468', 'a463', 'a469', 'a66']
['a310', 'a319', 'a313', 'a315', 'a316', 'a314', 'a317', 'a318', 'a367', 'a398']
['a100', 'a109', 'a105', 'a108', 'a106', 'a101', 'a103', 'a107', 'a410', 'a415']
['a241', 'a248', 'a243', 'a247', 'a246', 'a244', 'a242', 'a245', 'a249', 'a418']
['a180', 'a181', 'a187', 'a183', 'a186', 'a182', 'a185', 'a411', 'a419', 'a414']
['a20', 'a24', 'a26', 'a27', 'a22', 'a25', 'a28', 'a21', 'a29', 'a184']
