['883', '819', '827', '822', '905', '804', '906', '811', '820', '904', '903', '222']
['706', '774', '679', '673', '701', '681', '674', '682', '771', '772', '672', '800']
['766', '742', '732', '733', '739', '747', '678', '750', '676', '677', '761', '755']
['629', '628', '702', '675', '680', '763', '683', '752', '630', '699', '700', '627']
['886', '852', '798', '859', '795', '803', '796', '881', '853', '862', '797', '174']
['868', '829', '873', '835', '867', '870', '869', '875', '928', '830', '828', '872']
['839', '817', '816', '847', '784', '836', '783', '818', '837', '850', '786', '794']
['825', '782', '787', '814', '824', '882', '780', '809', '879', '880', '781', '932']
['913', '930', '857', '856', '785', '912', '927', '801', '919', '858', '935', '914']
['746', '753', '712', '745', '778', '775', '713', '710', '709', '717', '773', '355']
['691', '707', '718', '728', '686', '704', '708', '684', '731', '685', '729', '715']
['640', '703', '698', '719', '714', '705', '711', '696', '697', '716', '663', '641']
['759', '670', '689', '760', '662', '694', '660', '688', '661', '762', '690', '667']
['751', '744', '666', '764', '721', '664', '754', '665', '748', '765', '767', '722']
['631', '655', '724', '625', '726', '727', '658', '653', '730', '634', '624', '725']
['779', '756', '647', '757', '644', '638', '645', '723', '758', '639', '776', '642']
['649', '648', '668', '671', '650', '693', '695', '626', '692', '633', '687', '669']
['741', '769', '632', '743', '734', '735', '768', '720', '770', '635', '740', '777']
['651', '737', '654', '637', '659', '636', '656', '643', '652', '736', '738', '646']
['484', '555', '556', '563', '540', '490', '550', '547', '558', '483', '486', '485']
['613', '500', '606', '611', '495', '603', '614', '612', '501', '619', '503', '608']
['595', '590', '618', '589', '622', '617', '588', '616', '533', '534', '598', '532']
['543', '548', '505', '538', '528', '596', '551', '506', '529', '549', '597', '535']
['472', '474', '546', '477', '557', '473', '544', '562', '545', '479', '476', '471']
['502', '568', '491', '470', '497', '488', '569', '468', '469', '570', '499', '475']
['601', '615', '600', '567', '512', '620', '623', '478', '621', '515', '575', '513']
['496', '581', '552', '580', '583', '498', '554', '586', '559', '487', '561', '553']
['560', '594', '576', '591', '592', '577', '510', '610', '599', '507', '607', '593']
['508', '587', '578', '574', '509', '542', '582', '541', '571', '584', '585', '564']
