['353', '314', '631', '718', '21', '92', '367', '807', '385', '375', '310', '694', '490', '474', '312', '246', '27', '661', '428', '854', '789', '856', '640', '448', '468', '207']
['651', '198', '612', '848', '596', '529', '444', '401', '212', '531', '245', '19', '77', '798', '560', '111', '300', '397', '291', '392', '5', '463', '516', '371', '570', '668', '511']
['566', '28', '863', '91', '113', '227', '770', '845', '633', '652', '893', '142', '278', '154', '740', '38', '670', '200', '144', '603', '34', '243', '48', '487', '46', '852', '837']
['888', '892', '736', '433', '525', '634', '404', '615', '864', '3', '372', '896', '796', '553', '763', '576', '835', '628', '231', '146', '311', '264', '818', '604', '542', '751', '319']
['44', '627', '663', '540', '715', '466', '368', '571', '17', '706', '667', '675', '43', '673', '883', '684', '824', '435', '409', '237', '408', '578', '167', '451', '865', '129', '577']
['632', '866', '313', '364', '610', '244', '229', '354', '465', '767', '749', '887', '128', '339', '384', '232', '11', '256', '813', '174', '647', '829', '365', '378', '513', '380', '619']
['176', '488', '239', '52', '485', '296', '47', '704', '340', '878', '605', '783', '268', '464', '554', '173', '120', '407', '817', '390', '276', '607', '568', '334', '768', '250', '544']
['119', '193', '772', '473', '412', '178', '438', '697', '55', '137', '135', '76', '152', '59', '538', '528', '155', '716', '361', '764', '351', '253', '894', '844', '422', '86', '446']
['410', '80', '549', '356', '221', '16', '598', '267', '344', '739', '216', '1', '449', '838', '381', '263', '213', '302', '41', '869', '45', '63', '713', '87', '821', '40', '24']
['235', '150', '342', '247', '787', '309', '648', '665', '82', '405', '369', '744', '425', '876', '72', '814', '140', '251', '660', '32', '880', '366', '0', '664', '205', '391', '430']
['778', '260', '18', '277', '357', '881', '725', '497', '782', '270', '812', '731', '395', '481', '241', '621', '643', '885', '6', '591', '156', '182', '337', '519', '703', '98', '831']
['287', '460', '616', '639', '202', '452', '104', '520', '617', '423', '432', '2', '341', '799', '411', '8', '346', '586', '66', '126', '861', '502', '439', '454', '56', '20', '482']
['774', '847', '297', '552', '374', '79', '421', '219', '175', '349', '565', '132', '550', '389', '867', '184', '742', '828', '286', '26', '470', '403', '654', '85', '658', '677', '254']
['67', '775', '509', '593', '669', '666', '547', '803', '116', '522', '271', '805', '608', '738', '75', '222', '816', '455', '879', '765', '214', '737', '304', '794', '676', '535', '443']
['613', '9', '255', '36', '562', '626', '108', '630', '162', '345', '279', '858', '148', '585', '555', '683', '583', '785', '678', '743', '426', '518', '595', '165', '293', '453', '360']
['406', '379', '662', '53', '872', '761', '398', '272', '328', '131', '567', '107', '478', '475', '741', '597', '112', '324', '14', '118', '679', '196', '102', '797', '317', '96', '759']
['573', '362', '712', '294', '136', '800', '224', '301', '348', '64', '321', '692', '776', '469', '870', '331', '170', '500', '29', '871', '427', '827', '206', '756', '503', '833', '543']
['33', '215', '826', '68', '289', '745', '727', '732', '413', '708', '25', '382', '574', '228', '642', '730', '323', '579', '836', '514', '508', '185', '650', '440', '121', '620', '183']
['515', '70', '376', '649', '587', '846', '236', '820', '101', '559', '138', '320', '424', '130', '238', '506', '556', '590', '333', '884', '305', '197', '387', '177', '442', '192', '521']
['623', '523', '262', '42', '688', '702', '445', '728', '575', '825', '199', '274', '292', '218', '261', '58', '259', '332', '347', '717', '709', '493', '163', '327', '832', '748', '873']
['226', '793', '447', '418', '699', '646', '592', '461', '689', '486', '441', '83', '95', '868', '536', '711', '495', '601', '657', '343', '899', '338', '532', '757', '714', '257', '61']
['700', '606', '681', '659', '97', '691', '233', '735', '94', '753', '402', '580', '258', '599', '822', '808', '895', '396', '766', '22', '557', '194', '843', '187', '754', '110', '806']
['860', '693', '830', '707', '88', '507', '266', '886', '804', '242', '168', '252', '117', '534', '288', '106', '524', '551', '582', '240', '501', '303', '594', '133', '533', '602', '57']
['273', '30', '686', '230', '416', '609', '780', '786', '457', '164', '795', '682', '394', '588', '721', '275', '705', '898', '265', '690', '209', '71', '195', '877', '815', '399', '326']
['50', '73', '645', '383', '315', '282', '51', '141', '450', '510', '545', '496', '153', '625', '100', '181', '103', '680', '283', '890', '889', '762', '629', '891', '674', '388', '498']
['295', '49', '769', '23', '517', '60', '637', '581', '15', '733', '35', '724', '897', '37', '874', '546', '476', '636', '750', '373', '172', '123', '318', '134', '299', '352', '539']
['710', '158', '157', '558', '644', '54', '359', '819', '853', '777', '269', '204', '752', '210', '281', '336', '527', '823', '145', '400', '139', '414', '434', '124', '781', '322', '747']
['729', '671', '234', '720', '160', '811', '10', '491', '436', '308', '611', '188', '147', '850', '875', '329', '839', '802', '656', '499', '462', '223', '851', '393', '484', '99', '201']
['220', '127', '4', '719', '377', '330', '280', '734', '635', '217', '572', '81', '810', '492', '672', '589', '166', '467', '696', '480', '841', '420', '417', '618', '284', '437', '505']
['298', '790', '760', '191', '834', '840', '698', '189', '483', '641', '526', '842', '208', '39', '306', '788', '89', '249', '325', '78', '701', '190', '307', '335', '358', '638', '489']
['792', '458', '122', '801', '471', '695', '143', '74', '857', '65', '541', '114', '171', '537', '512', '363', '419', '370', '655', '459', '431', '653', '564', '415', '151', '12', '115']
['563', '62', '809', '472', '784', '479', '350', '687', '723', '622', '569', '285', '624', '211', '31', '779', '746', '179', '169', '561', '105', '773', '90', '530', '685', '791', '456']
['7', '548', '504', '159', '149', '13', '248', '316', '849', '109', '84', '600', '125', '69', '771', '494', '203', '186', '862', '225', '758', '722', '386', '429', '477', '584', '855']
['93', '161', '882', '614', '859', '180', '290', '355', '755']
['726']
