['12', '17', '19', '47', '84', '100', '106', '116', '117', '133', '139', '157', '190', '311', '380', '409', '417', '431', '440', '488', '509', '482', '507']
['11', '119', '180', '212', '223', '231', '251', '255', '320', '330', '343', '382', '386', '401', '420', '430', '433', '442', '445', '467', '484', '496', '506']
['5', '7', '14', '29', '44', '109', '115', '181', '186', '219', '247', '273', '274', '278', '282', '283', '309', '328', '332', '339', '427', '448', '512']
['55', '60', '63', '65', '70', '82', '85', '86', '93', '97', '101', '104', '164', '176', '210', '218', '248', '257', '353', '366', '408', '418', '421']
['169', '170', '173', '196', '215', '254', '271', '299', '306', '347', '352', '354', '355', '377', '396', '453', '469', '479', '490', '491', '495', '508', '494']
['10', '13', '40', '48', '49', '51', '68', '71', '113', '140', '152', '191', '211', '216', '239', '262', '359', '370', '388', '410', '423', '459', '473']
['61', '73', '77', '125', '138', '145', '182', '185', '193', '208', '227', '261', '349', '360', '361', '365', '376', '405', '470', '471', '492', '519', '489']
['56', '78', '80', '91', '94', '103', '143', '166', '192', '225', '235', '277', '298', '302', '310', '318', '321', '323', '336', '348', '350', '367', '483']
['3', '25', '26', '46', '165', '214', '221', '229', '234', '238', '243', '245', '319', '326', '342', '411', '416', '477', '493', '523', '447', '456', '436']
['2', '16', '22', '31', '38', '39', '69', '74', '105', '111', '121', '123', '128', '131', '134', '177', '287', '288', '292', '300', '383', '415', '460']
['151', '156', '200', '205', '209', '249', '256', '314', '327', '334', '356', '372', '389', '404', '419', '437', '452', '468', '475', '500', '503', '510', '443']
['6', '23', '32', '53', '59', '118', '126', '129', '130', '147', '213', '228', '233', '268', '270', '312', '425', '446', '450', '451', '461', '481', '528']
['72', '79', '81', '83', '88', '114', '149', '150', '154', '159', '189', '252', '279', '281', '285', '329', '369', '390', '517', '518', '524', '526', '516']
['1', '207', '242', '244', '266', '296', '308', '316', '363', '384', '392', '395', '406', '413', '424', '454', '455', '480', '485', '486', '487', '498', '499']
['37', '95', '96', '142', '144', '168', '171', '174', '224', '253', '284', '295', '301', '304', '325', '340', '398', '428', '457', '527', '520', '525', '505']
['15', '45', '89', '102', '107', '110', '122', '155', '160', '178', '217', '250', '263', '264', '305', '351', '385', '399', '400', '407', '422', '429', '435']
['108', '112', '120', '206', '240', '291', '315', '341', '344', '362', '368', '371', '373', '387', '414', '426', '441', '449', '458', '478', '501', '504', '497']
['8', '9', '27', '30', '33', '41', '43', '99', '137', '148', '161', '162', '175', '197', '232', '236', '260', '322', '462', '515', '432', '513', '522']
['36', '52', '57', '62', '66', '75', '92', '98', '124', '127', '135', '179', '188', '204', '307', '333', '337', '412', '465', '466', '474', '476', '521']
['35', '136', '167', '183', '201', '202', '230', '258', '259', '267', '272', '276', '286', '290', '303', '345', '357', '358', '364', '381', '391', '393', '394']
['0', '4', '18', '20', '21', '34', '54', '58', '76', '132', '146', '153', '195', '199', '293', '317', '331', '335', '402', '444', '464', '502', '511']
['28', '42', '50', '64', '67', '87', '90', '141', '163', '172', '222', '226', '237', '246', '280', '313', '324', '374', '378', '403', '438', '463', '514']
['24', '158', '184', '187', '194', '198', '203', '220', '241', '265', '269', '275', '289', '294', '297', '338', '346', '375', '379', '397', '434', '439', '472']
