['534', '808', '822', '34', '562', '545', '649', '117', '51', '625', '20', '597', '871', '323', '869', '598', '781', '809', '559', '320', '563', '874', '238', '604', '407', '235', '880', '478', '453', '316', '152', '756', '4', '491', '847', '816', '33', '765', '686', '376', '856', '731', '777', '178', '700']
['61', '14', '216', '525', '130', '39', '426', '430', '196', '638', '803', '467', '358', '480', '734', '195', '590', '442', '360', '12', '171', '603', '457', '257', '264', '588', '520', '898', '611', '71', '742', '27', '115', '748', '124', '205', '773', '861', '584', '112', '824', '826', '532', '879', '502']
['537', '161', '125', '304', '705', '770', '54', '68', '461', '410', '300', '762', '448', '113', '636', '455', '269', '459', '169', '126', '99', '640', '895', '744', '77', '273', '591', '252', '471', '443', '294', '875', '768', '230', '212', '424', '409', '863', '415', '203', '746', '437', '107', '484', '425']
['431', '366', '623', '427', '709', '839', '224', '617', '234', '423', '510', '687', '817', '828', '447', '206', '261', '354', '684', '858', '618', '88', '319', '581', '370', '791', '518', '477', '368', '55', '888', '221', '827', '550', '31', '343', '665', '218', '503', '485', '156', '849', '729', '472', '749']
['242', '36', '386', '658', '341', '40', '268', '202', '210', '763', '669', '492', '225', '724', '401', '183', '761', '593', '60', '357', '727', '812', '239', '609', '833', '371', '795', '690', '672', '830', '629', '150', '577', '786', '408', '249', '831', '489', '374', '719', '711', '63', '185', '87', '433']
['536', '29', '334', '303', '326', '695', '75', '766', '204', '867', '835', '114', '105', '259', '208', '267', '820', '738', '475', '890', '47', '85', '217', '889', '248', '226', '266', '619', '7', '702', '899', '37', '873', '287', '227', '375', '460', '885', '73', '381', '377', '116', '683', '38', '544']
['98', '335', '775', '747', '878', '308', '8', '330', '678', '92', '402', '894', '671', '735', '30', '256', '438', '147', '538', '865', '641', '122', '363', '656', '45', '667', '16', '785', '697', '566', '772', '142', '35', '675', '755', '245', '855', '821', '771', '792', '870', '192', '627', '628', '499']
['750', '600', '395', '328', '146', '233', '787', '882', '674', '866', '732', '404', '493', '691', '139', '840', '794', '517', '549', '228', '53', '416', '137', '167', '715', '539', '793', '527', '188', '361', '689', '673', '706', '612', '111', '587', '473', '400', '74', '406', '853', '514', '136', '134', '340']
['372', '712', '881', '390', '405', '81', '779', '284', '572', '479', '100', '717', '119', '565', '788', '232', '630', '844', '668', '708', '509', '634', '446', '184', '86', '662', '64', '347', '701', '440', '223', '495', '884', '845', '311', '552', '774', '594', '553', '444', '730', '91', '399', '306', '133']
['301', '339', '458', '497', '154', '263', '214', '305', '486', '883', '186', '383', '751', '345', '79', '258', '850', '110', '292', '720', '127', '718', '389', '680', '57', '387', '468', '796', '155', '76', '819', '783', '97', '519', '84', '862', '15', '299', '333', '44', '391', '385', '275', '128', '789']
['626', '270', '523', '0', '93', '243', '846', '118', '632', '526', '103', '265', '382', '411', '851', '463', '172', '666', '642', '162', '414', '138', '288', '647', '244', '621', '78', '13', '754', '592', '237', '102', '602', '285', '144', '633', '412', '657', '560', '494', '388', '465', '21', '806', '48']
['704', '736', '571', '43', '253', '614', '295', '193', '260', '120', '825', '10', '521', '67', '356', '157', '654', '251', '778', '575', '848', '25', '798', '309', '241', '95', '490', '644', '646', '62', '743', '197', '321', '66', '605', '699', '23', '569', '852', '104', '70', '542', '487', '752', '651']
['3', '451', '159', '65', '56', '180', '496', '663', '165', '336', '83', '877', '784', '576', '274', '397', '810', '432', '94', '659', '135', '41', '725', '396', '693', '728', '582', '740', '380', '474', '714', '240', '541', '121', '213', '892', '434', '211', '176', '615', '679', '422', '160', '876', '574']
['567', '540', '332', '530', '676', '222', '570', '317', '420', '276', '501', '349', '1', '428', '346', '421', '331', '482', '677', '607', '513', '548', '177', '703', '315', '522', '164', '596', '543', '198', '153', '310', '246', '398', '891', '277', '199', '201', '170', '601', '529', '758', '616', '500', '72']
['836', '384', '131', '837', '606', '49', '578', '483', '325', '682', '713', '764', '429', '516', '470', '445', '813', '145', '739', '476', '652', '897', '82', '595', '393', '524', '753', '140', '555', '599', '780', '456', '89', '59', '745', '631', '148', '815', '692', '842', '378', '322', '661', '580', '318']
['158', '504', '175', '329', '462', '229', '838', '194', '373', '18', '22', '546', '28', '716', '282', '589', '804', '19', '190', '173', '6', '255', '802', '790', '464', '757', '741', '488', '174', '818', '648', '622', '90', '11', '163', '362', '557', '688', '123', '583', '586', '859', '394', '52', '733']
['337', '782', '231', '236', '801', '624', '760', '143', '9', '860', '367', '585', '191', '498', '42', '58', '814', '637', '558', '350', '710', '392', '132', '655', '868', '324', '254', '359', '800', '608', '344', '829', '69', '645', '272', '342', '2', '535', '639', '369', '166', '250', '823', '805', '281']
['660', '419', '556', '610', '452', '653', '650', '215', '843', '551', '219', '854', '441', '200', '886', '289', '722', '508', '187', '209', '379', '96', '767', '723', '106', '454', '449', '291', '80', '531', '279', '664', '417', '271', '418', '769', '189', '613', '797', '296', '685', '450', '26', '506', '338']
['32', '620', '365', '568', '182', '707', '297', '351', '327', '857', '207', '481', '293', '554', '864', '807', '694', '129', '312', '314', '505', '547', '290', '737', '726', '696', '353', '896', '413', '50', '887', '46', '834', '799', '561', '872', '573', '220', '355', '512', '507', '141', '635', '179', '280']
['511', '286', '262', '298', '302', '759', '721', '832', '776', '348', '439', '168', '515', '893', '101', '681', '436', '352', '643', '403', '533', '181', '247', '811', '364', '108', '149', '17', '841', '579', '151', '435', '313', '109', '466', '670', '528', '278', '307', '283', '24', '469', '698', '564', '5']
