['420', '573', '574', '885', '942']
['116', '482', '506', '507', '916']
['135', '571', '572', '627', '994']
['152', '232', '366', '471', '795']
['24', '166', '628', '630', '943']
['168', '177', '250', '524', '639']
['39', '240', '702', '794', '828']
['150', '184', '391', '610', '673']
['84', '200', '275', '570', '701']
['231', '460', '463', '751', '788']
['182', '377', '636', '638', '881']
['91', '327', '491', '898', '929']
['32', '244', '339', '440', '493']
['44', '332', '529', '553', '666']
['442', '735', '897', '899', '962']
['87', '155', '163', '169', '368']
['487', '548', '682', '721', '977']
['127', '206', '326', '579', '714']
['295', '297', '324', '394', '436']
['3', '161', '289', '402', '522']
['238', '516', '555', '726', '890']
['55', '57', '335', '373', '668']
['14', '21', '299', '728', '812']
['190', '254', '261', '886', '935']
['336', '380', '404', '438', '489']
['118', '154', '663', '888', '953']
['167', '176', '473', '678', '773']
['160', '253', '311', '664', '677']
['468', '845', '922', '923', '974']
['22', '164', '629', '662', '895']
['626', '710', '780', '819', '970']
['113', '329', '774', '991', '873']
['185', '345', '684', '997', '990']
['119', '425', '480', '806', '852']
['372', '558', '720', '832', '992']
['120', '133', '361', '691', '918']
['546', '575', '582', '617', '799']
['108', '661', '851', '853', '989']
['78', '270', '286', '541', '856']
['328', '562', '644', '880', '905']
['444', '758', '826', '859', '903']
['376', '421', '443', '619', '807']
['170', '642', '803', '818', '870']
['229', '325', '331', '333', '931']
['386', '461', '464', '858', '993']
['137', '146', '409', '561', '738']
['290', '405', '410', '447', '882']
['389', '478', '535', '737', '941']
['288', '313', '314', '521', '552']
['445', '515', '576', '669', '883']
['686', '722', '734', '996', '775']
['233', '498', '830', '831', '834']
['25', '347', '393', '833', '910']
['417', '526', '566', '797', '985']
['485', '565', '631', '900', '901']
['33', '337', '796', '884', '963']
['62', '418', '620', '723', '824']
['86', '341', '600', '769', '906']
['2', '768', '804', '815', '827']
['0', '211', '616', '632', '887']
['49', '65', '481', '705', '928']
['16', '67', '180', '217', '338']
