['902', '948', '128', '229', '394', '18', '818', '110', '147', '190', '143', '155', '379', '24', '759', '34', '208', '528', '501', '226', '188', '17', '473', '920', '641', '535', '563', '758', '542', '496', '31', '608', '160', '989', '331', '569', '319', '285', '738', '204', '774', '561', '468', '273', '655', '986', '621', '432', '302', '69', '181', '214', '76', '856', '403', '463', '753', '255', '54', '805', '156', '67', '207']
['414', '886', '225', '173', '589', '854', '437', '366', '941', '179', '772', '89', '253', '59', '433', '806', '882', '398', '0', '857', '346', '985', '183', '212', '477', '415', '538', '476', '962', '382', '510', '78', '240', '870', '417', '629', '701', '849', '325', '168', '895', '393', '266', '2', '259', '316', '420', '123', '923', '520', '322', '505', '206', '447', '992', '800', '395', '85', '435', '973', '875', '231', '250']
['286', '484', '4', '165', '712', '552', '472', '965', '148', '387', '309', '583', '7', '681', '690', '368', '559', '860', '635', '318', '771', '750', '624', '460', '519', '272', '824', '517', '469', '667', '843', '874', '877', '674', '734', '10', '380', '660', '6', '66', '332', '673', '205', '864', '819', '112', '945', '970', '934', '656', '402', '37', '838', '938', '92', '352', '827', '556', '30', '745', '135', '705', '802']
['751', '198', '219', '572', '381', '704', '297', '371', '657', '426', '684', '604', '710', '594', '227', '288', '652', '586', '482', '480', '665', '675', '408', '918', '804', '659', '723', '562', '315', '258', '391', '184', '678', '518', '210', '280', '969', '499', '278', '344', '213', '456', '475', '879', '407', '541', '669', '70', '598', '713', '343', '276', '845', '132', '399', '13', '494', '389', '361', '98', '581', '257', '233']
['873', '927', '979', '991', '891', '508', '180', '749', '850', '976', '133', '953', '11', '924', '216', '138', '111', '578', '532', '826', '929', '25', '68', '764', '840', '194', '978', '220', '997', '832', '743', '651', '3', '523', '124', '842', '867', '977', '547', '298', '82', '863', '36', '33', '726', '336', '436', '41', '405', '211', '338', '238', '820', '365', '822', '787', '474', '369', '506', '83', '791', '632', '830']
['546', '335', '356', '185', '249', '170', '609', '246', '855', '203', '232', '521', '782', '341', '152', '671', '187', '385', '57', '296', '946', '731', '687', '748', '328', '348', '611', '434', '129', '696', '618', '623', '692', '516', '136', '88', '733', '766', '497', '440', '486', '421', '63', '244', '682', '645', '359', '736', '221', '605', '760', '720', '291', '524', '836', '108', '235', '470', '178', '453', '342', '271', '166']
['360', '617', '933', '778', '252', '955', '93', '324', '262', '261', '912', '39', '134', '283', '215', '114', '396', '947', '459', '388', '893', '191', '199', '680', '254', '313', '452', '861', '883', '889', '412', '419', '234', '300', '591', '14', '811', '865', '932', '35', '566', '776', '367', '526', '813', '719', '944', '461', '406', '825', '94', '427', '425', '189', '677', '769', '808', '140', '443', '981', '260', '796', '988']
['488', '355', '230', '115', '536', '42', '577', '996', '558', '287', '71', '607', '557', '237', '960', '314', '19', '971', '654', '744', '573', '780', '919', '164', '241', '29', '492', '75', '97', '441', '664', '299', '567', '599', '162', '994', '91', '892', '202', '999', '5', '383', '901', '376', '151', '44', '157', '909', '96', '732', '949', '686', '950', '200', '633', '102', '587', '585', '512', '498', '878', '625', '642']
['553', '844', '175', '354', '644', '312', '801', '121', '465', '49', '61', '514', '869', '118', '493', '777', '798', '727', '490', '311', '799', '153', '358', '548', '570', '131', '560', '679', '527', '267', '646', '491', '90', '489', '564', '648', '968', '613', '509', '334', '504', '815', '905', '718', '154', '896', '917', '650', '209', '630', '217', '835', '661', '340', '913', '672', '104', '439', '50', '284', '853', '446', '169']
['513', '788', '400', '16', '728', '837', '56', '390', '708', '418', '145', '939', '911', '65', '964', '937', '101', '445', '487', '915', '834', '790', '707', '921', '768', '703', '706', '554', '982', '347', '531', '689', '746', '28', '290', '116', '525', '928', '186', '610', '292', '515', '821', '144', '448', '781', '619', '122', '503', '888', '831', '789', '767', '966', '60', '281', '1', '737', '223', '86', '350', '38', '26']
['829', '423', '74', '795', '349', '218', '884', '914', '454', '544', '697', '987', '46', '700', '353', '126', '317', '20', '120', '40', '866', '600', '668', '959', '735', '251', '306', '247', '627', '876', '295', '974', '149', '907', '464', '612', '752', '339', '431', '109', '663', '457', '404', '972', '990', '117', '529', '106', '549', '602', '584', '638', '761', '357', '282', '99', '980', '995', '479', '688', '637', '904', '301']
['256', '442', '130', '502', '851', '894', '555', '793', '858', '596', '48', '483', '79', '868', '392', '58', '455', '765', '848', '174', '899', '872', '330', '308', '263', '72', '53', '478', '954', '370', '275', '413', '885', '84', '481', '551', '23', '103', '495', '951', '401', '940', '333', '462', '372', '337', '717', '957', '910', '176', '702', '580', '45', '410', '592', '763', '159', '228', '823', '142', '196', '485', '983']
