['17', '22', '40', '44', '59', '100', '109', '145', '147', '216', '224', '248', '249', '260', '270', '307', '344', '364', '383', '392', '413', '522', '639', '683', '690', '698', '709', '734', '743', '705']
['1', '32', '56', '66', '75', '87', '120', '183', '191', '205', '235', '264', '273', '320', '322', '329', '336', '353', '368', '374', '396', '454', '496', '510', '615', '652', '666', '687', '700', '713']
['72', '96', '126', '140', '201', '234', '266', '280', '294', '346', '351', '391', '429', '444', '476', '489', '498', '507', '508', '527', '532', '612', '617', '635', '637', '661', '664', '728', '749', '719']
['13', '45', '108', '139', '167', '195', '206', '211', '214', '232', '287', '293', '315', '332', '362', '386', '395', '520', '536', '598', '608', '611', '629', '653', '659', '697', '699', '724', '738', '739']
['69', '79', '84', '127', '177', '178', '208', '237', '271', '290', '327', '328', '335', '426', '430', '437', '452', '464', '465', '467', '505', '543', '602', '630', '675', '681', '707', '710', '722', '726']
['35', '148', '157', '161', '170', '188', '199', '202', '213', '221', '227', '247', '269', '311', '341', '397', '403', '409', '410', '418', '456', '542', '544', '624', '628', '649', '663', '684', '701', '727']
['23', '36', '61', '64', '97', '131', '168', '176', '180', '226', '242', '259', '261', '284', '318', '325', '387', '399', '432', '434', '526', '547', '550', '594', '627', '679', '714', '718', '682', '668']
['31', '70', '78', '88', '119', '121', '156', '173', '209', '212', '238', '244', '321', '342', '354', '371', '380', '388', '406', '417', '451', '455', '472', '494', '495', '517', '546', '559', '600', '606']
['3', '7', '11', '16', '18', '112', '116', '143', '193', '207', '222', '229', '314', '356', '359', '400', '509', '533', '553', '580', '647', '656', '692', '694', '696', '706', '721', '731', '737', '740']
['19', '29', '53', '80', '118', '149', '162', '165', '186', '204', '223', '286', '312', '347', '361', '376', '459', '488', '506', '548', '582', '583', '604', '622', '715', '717', '732', '735', '747', '720']
['37', '46', '68', '123', '138', '153', '189', '190', '215', '220', '239', '257', '309', '317', '440', '462', '493', '555', '566', '584', '586', '589', '595', '601', '640', '672', '673', '685', '703', '741']
['21', '55', '172', '175', '198', '200', '274', '275', '330', '331', '333', '348', '350', '363', '416', '435', '457', '463', '471', '558', '560', '562', '564', '567', '620', '654', '693', '704', '716', '725']
['6', '14', '25', '34', '47', '113', '128', '137', '159', '194', '210', '291', '301', '303', '352', '378', '393', '421', '453', '512', '538', '541', '568', '578', '633', '636', '644', '686', '688', '729']
['20', '92', '105', '125', '187', '225', '241', '324', '338', '340', '372', '385', '408', '412', '439', '466', '469', '475', '490', '492', '523', '557', '576', '581', '605', '610', '650', '678', '712', '742']
['8', '15', '111', '136', '169', '185', '231', '283', '373', '390', '394', '398', '407', '414', '423', '443', '477', '497', '516', '529', '535', '540', '603', '614', '618', '625', '660', '662', '665', '667']
['71', '89', '90', '99', '106', '115', '130', '182', '203', '313', '323', '326', '381', '384', '433', '446', '461', '478', '487', '515', '531', '551', '565', '573', '577', '587', '733', '745', '695', '708']
['2', '4', '9', '38', '39', '50', '60', '62', '73', '74', '83', '134', '155', '163', '217', '233', '250', '252', '258', '282', '297', '360', '370', '405', '419', '448', '609', '623', '658', '669']
['12', '41', '77', '91', '93', '230', '245', '256', '268', '276', '298', '310', '365', '404', '427', '473', '479', '481', '486', '500', '518', '521', '545', '613', '642', '645', '646', '651', '655', '674']
['43', '58', '122', '135', '150', '240', '251', '253', '285', '288', '292', '305', '349', '358', '369', '420', '422', '424', '425', '441', '480', '483', '491', '537', '549', '556', '572', '670', '730', '748']
['10', '28', '33', '42', '51', '52', '67', '85', '110', '152', '218', '228', '272', '279', '281', '339', '345', '401', '449', '484', '504', '513', '525', '534', '552', '571', '588', '616', '634', '648']
['26', '30', '49', '94', '103', '114', '133', '158', '171', '243', '262', '267', '302', '316', '377', '411', '436', '460', '485', '501', '502', '530', '554', '561', '569', '579', '592', '597', '643', '746']
['0', '57', '76', '86', '98', '141', '144', '154', '164', '166', '181', '246', '263', '278', '289', '304', '334', '343', '389', '445', '474', '524', '528', '563', '570', '591', '626', '631', '641', '657']
['24', '82', '102', '124', '129', '132', '142', '219', '277', '299', '300', '306', '337', '367', '415', '428', '438', '442', '450', '458', '468', '482', '575', '590', '599', '632', '638', '671', '702', '723']
['5', '48', '54', '65', '81', '95', '104', '146', '160', '192', '236', '255', '308', '355', '357', '366', '379', '402', '431', '447', '511', '519', '574', '585', '607', '677', '680', '711', '736', '744']
['27', '63', '101', '107', '117', '151', '174', '179', '184', '196', '197', '254', '265', '295', '296', '319', '375', '382', '470', '499', '503', '514', '539', '593', '596', '619', '621', '676', '689', '691']
