['r10', 'b28', 'y19', 'f8', 'm21', 'r24', 's3', 's2', 'o21', 'e20', 'e9', 'p16', 'e5', 'u24', 'u25', 'u27', 'v8', 'k6', 'y16', 'v10', 'd6', 'q6', 'w8', 'f21', 'x28', 'x24', 'c29', 'q13', 'd17', 'i20']
['t13', 'z22', 'z21', 'w23', 'd15', 'u29', 'g10', 'p13', 't5', 'w10', 'e4', 'x18', 'h21', 'k4', 'v17', 'a22', 'd13', 'y15', 'k29', 'q22', 'y24', 'k19', 'k18', 'm30', 'j11', 'z14', 'b13', 'a12', 'a1', 'a2']
['z18', 't9', 'z6', 'y12', 'z20', 'e29', 'z29', 'z19', 'w14', 'u28', 'o16', 'f14', 'n28', 'm12', 'u11', 'i27', 'y13', 'c12', 'g30', 'o2', 's11', 'k10', 'j18', 'q21', 'd22', 'e30', 'a7', 'a8', 'd29', 'd28']
['b26', 'l29', 'r27', 'o24', 'o22', 'e27', 'g19', 'x17', 'o13', 'w2', 'e10', 'x26', 'n10', 'x29', 'c20', 'a23', 'a24', 'd10', 'c10', 'y25', 'x30', 'l9', 'h6', 'h5', 'a17', 'i12', 'n3', 'n5', 'n6', 'n7']
['g6', 'g3', 'o7', 'q1', 'o3', 'q14', 'z2', 'f19', 'f7', 'r28', 's8', 's7', 's5', 'w21', 'g11', 'p18', 'r12', 'z11', 'r6', 'm23', 'o19', 'x2', 'v12', 'e17', 'o30', 'p5', 'i26', 'i3', 'n25', 'q28']
['j25', 'w24', 'y5', 'p12', 't8', 'w15', 'r3', 'u22', 'x8', 'v13', 'd7', 'e18', 'f24', 'q12', 'm19', 'c6', 'c5', 'a27', 'k24', 's19', 'f30', 'k16', 'k15', 'b7', 'a10', 'a3', 'a4', 'd20', 'd25', 'n8']
['t18', 'b23', 'j24', 'h19', 'h16', 's4', 'y9', 'y3', 'y4', 'p10', 'p14', 'l5', 'w19', 'r4', 'r5', 'm28', 'u6', 'k25', 'j4', 'j3', 'w5', 'f25', 'm11', 'm18', 'u16', 'c2', 'c1', 'a25', 's26', 'b9']
['g4', 'y26', 'j20', 'g20', 'm6', 'f2', 'w20', 'g17', 'i25', 'z17', 'w11', 't23', 'o11', 'j8', 'f10', 'h20', 'z30', 'x27', 'j2', 'v23', 'v26', 'i9', 'i6', 'v5', 'b5', 'y28', 'j14', 'b1', 'b2', 'a14']
['o5', 'g28', 'l26', 'm8', 'm20', 'r26', 'r25', 'w26', 'e26', 'r7', 'u23', 'o12', 'x4', 'p23', 'a30', 'k9', 'q4', 'n11', 'p25', 'f29', 'u13', 'd11', 'i4', 'i7', 'c15', 'q15', 'q24', 'l7', 'l16', 'l12']
['o6', 't6', 'z13', 'q11', 'z5', 'm9', 'h12', 'f4', 'w27', 'o27', 'o29', 'e8', 'e3', 'u26', 'u7', 's30', 'i30', 'p21', 'h29', 'h26', 'v19', 'e12', 'e16', 'q30', 'w1', 'w9', 'u19', 'c9', 'p1', 'n21']
['t14', 't15', 'g5', 'q19', 'h10', 'x10', 'x15', 'w18', 'm26', 'u21', 's27', 'r30', 'e19', 'y30', 'j5', 'w4', 'w3', 'c22', 'c3', 'p6', 'd14', 'd12', 'i8', 'l24', 'n27', 't24', 'c14', 'l13', 'y20', 'o1']
['z15', 'b25', 's10', 'q8', 'r14', 'r20', 'o20', 'e28', 'i24', 'w12', 't3', 'p20', 'p22', 'x25', 't7', 'l20', 'f15', 'i21', 'n24', 'k21', 'k26', 'q23', 'b3', 'h9', 'h1', 'k11', 'j12', 'q20', 'b10', 'b19']
['t1', 't25', 't27', 'm7', 'h15', 'f3', 's9', 'z24', 'e22', 'e23', 'o15', 'v9', 't26', 'h23', 'k8', 'h28', 'e14', 'n15', 'm15', 'u12', 'i29', 'n23', 'n26', 'y29', 'o8', 's17', 'z25', 'j16', 'j10', 'b6']
['z10', 'b21', 'u30', 's6', 'w28', 'i28', 'g12', 'x6', 'k2', 'i15', 'x22', 'z9', 'm14', 'v21', 't19', 'a21', 't20', 'c16', 'l15', 't16', 'l1', 'z16', 'i10', 'a15', 'a16', 'i19', 'i16', 'd24', 'n1', 'n2']
