['113', '127', '130', '131', '136', '678', '355']
['373', '377', '379', '380', '381', '383', '384']
['145', '282', '360', '382', '385', '529', '602']
['114', '115', '117', '119', '128', '129', '351']
['132', '134', '135', '137', '138', '139', '140']
['120', '121', '122', '123', '124', '125', '126']
['372', '375', '376', '378', '526', '700', '441']
['365', '366', '367', '368', '369', '370', '371']
['358', '359', '361', '363', '364', '374', '699']
['690', '692', '694', '695', '696', '697', '698']
['674', '675', '676', '679', '687', '689', '691']
['680', '681', '682', '683', '684', '685', '686']
['43', '112', '179', '596', '657', '667', '97']
['14', '144', '599', '653', '658', '669', '105']
['143', '642', '659', '660', '661', '662', '664']
['639', '640', '641', '643', '644', '663', '490']
['645', '646', '647', '648', '649', '650', '651']
['635', '652', '654', '655', '656', '665', '477']
['8', '24', '26', '29', '31', '32', '34']
['10', '15', '16', '17', '18', '19', '20']
['9', '11', '12', '13', '23', '30', '33']
['22', '25', '27', '28', '548', '556', '630']
['537', '554', '555', '557', '558', '559', '560']
['540', '541', '542', '543', '544', '545', '546']
['534', '535', '538', '539', '547', '549', '551']
['303', '309', '310', '311', '312', '313', '315']
['289', '291', '292', '293', '294', '304', '314']
['288', '295', '296', '297', '298', '299', '300']
['302', '305', '306', '307', '308', '411', '412']
['394', '396', '397', '398', '399', '408', '413']
['400', '401', '402', '403', '404', '405', '406']
['499', '500', '501', '503', '512', '513', '521']
['514', '519', '520', '522', '523', '524', '525']
['505', '506', '507', '508', '509', '510', '511']
['502', '504', '515', '516', '517', '518', '266']
['414', '415', '416', '417', '418', '419', '420']
['287', '407', '410', '424', '565', '638', '280']
['44', '45', '46', '47', '48', '49', '111']
['64', '65', '66', '67', '68', '69', '70']
['50', '51', '52', '53', '54', '55', '56']
['57', '58', '59', '60', '61', '62', '63']
['5', '178', '527', '566', '567', '636', '670']
['106', '108', '109', '110', '180', '362', '564']
['146', '181', '183', '395', '498', '568', '588']
['575', '576', '577', '578', '579', '580', '581']
['107', '182', '583', '584', '585', '586', '587']
['569', '570', '571', '572', '573', '574', '582']
['589', '590', '591', '592', '593', '594', '595']
['388', '494', '495', '528', '637', '673', '688']
['286', '393', '426', '427', '563', '666', '668']
['141', '234', '235', '237', '283', '316', '409']
['225', '226', '227', '228', '229', '230', '231']
['219', '220', '221', '222', '223', '233', '238']
['1', '7', '75', '317', '320', '325', '387']
['73', '232', '236', '240', '353', '354', '386']
['224', '239', '241', '242', '243', '244', '245']
['2', '3', '36', '497', '530', '633', '301']
['4', '6', '253', '276', '425', '460', '671']
['268', '269', '274', '275', '277', '278', '279']
['163', '176', '252', '254', '255', '256', '446']
['258', '260', '261', '262', '263', '264', '265']
['257', '259', '267', '270', '272', '273', '281']
['603', '624', '625', '626', '627', '628', '629']
['389', '456', '597', '604', '619', '677', '553']
['248', '250', '390', '423', '458', '634', '672']
['600', '601', '605', '606', '608', '609', '617']
['610', '611', '612', '613', '614', '615', '616']
['421', '607', '618', '620', '621', '622', '623']
['251', '318', '319', '357', '462', '561', '598']
['74', '457', '459', '461', '493', '496', '536']
['246', '247', '249', '284', '290', '356', '531']
['470', '471', '472', '473', '474', '475', '476']
['463', '484', '485', '486', '487', '488', '489']
['466', '478', '479', '480', '481', '482', '552']
['464', '465', '467', '468', '469', '483', '550']
['184', '186', '187', '188', '189', '202', '562']
['190', '191', '192', '193', '194', '195', '196']
['185', '197', '198', '199', '200', '201', '203']
['204', '205', '206', '207', '208', '209', '210']
['118', '211', '212', '213', '492', '631', '632']
['214', '215', '216', '217', '392', '532', '533']
['38', '39', '40', '76', '321', '352', '428']
['77', '149', '152', '153', '172', '174', '322']
['71', '169', '170', '171', '173', '175', '422']
['151', '165', '167', '218', '271', '391', '491']
['155', '156', '157', '158', '159', '160', '161']
['150', '154', '162', '164', '166', '168', '285']
['99', '100', '101', '102', '103', '104', '21']
['79', '81', '83', '84', '85', '98', '35']
['86', '87', '88', '89', '90', '91', '94']
['41', '42', '429', '431', '432', '433', '434']
['78', '80', '82', '92', '93', '95', '96']
['37', '72', '116', '142', '147', '148', '177']
['449', '450', '451', '452', '453', '454', '455']
['442', '443', '444', '445', '447', '448', '693']
['430', '435', '436', '437', '438', '439', '440']
['330', '331', '332', '333', '334', '335', '336']
['323', '324', '326', '327', '328', '339', '340']
['329', '337', '338', '341', '342', '343', '133']
['344', '345', '346', '347', '348', '349', '350']
