['998']
['997', '339', '58', '971', '211', '630', '786', '216', '220', '695', '200', '943', '396', '265', '947', '88', '855', '203', '250', '537', '323', '306', '471', '845', '50', '691', '731', '523', '218', '755', '91', '346', '653', '418', '647', '526', '180', '411', '686', '452', '565', '706', '913', '283', '79', '128', '905', '927', '563', '656']
['996', '861', '739', '158', '403', '685', '793', '960', '23', '94', '89', '718', '572', '183', '851', '579', '467', '362', '587', '45', '908', '958', '380', '279', '574', '315', '889', '766', '972', '399', '568', '602', '42', '660', '262', '120', '355', '559', '906', '812', '277', '424', '240', '442', '774', '40', '658', '728', '285', '199']
['995', '321', '195', '294', '931', '578', '146', '440', '896', '313', '125', '205', '646', '505', '784', '605', '412', '11', '398', '210', '433', '407', '15', '43', '679', '41', '324', '534', '703', '712', '722', '604', '387', '152', '280', '750', '160', '744', '975', '636', '92', '671', '637', '612', '863', '850', '608', '400', '47', '171']
['994', '580', '965', '858', '508', '238', '451', '813', '815', '663', '487', '825', '186', '724', '18', '447', '39', '673', '885', '497', '742', '756', '436', '448', '302', '806', '247', '469', '401', '131', '481', '233', '204', '512', '594', '599', '359', '928', '917', '135', '425', '119', '170', '301', '221', '46', '159', '796', '458', '699']
['993', '789', '854', '490', '591', '589', '771', '230', '836', '16', '614', '711', '897', '966', '570', '370', '705', '970', '422', '502', '31', '641', '426', '644', '757', '678', '666', '835', '390', '417', '624', '492', '659', '53', '139', '657', '392', '818', '538', '520', '940', '946', '19', '184', '546', '386', '767', '588', '536', '187']
['992', '884', '689', '65', '459', '197', '70', '83', '903', '488', '704', '696', '783', '650', '109', '915', '281', '880', '566', '24', '681', '156', '682', '625', '255', '224', '518', '632', '752', '620', '421', '891', '780', '853', '824', '293', '941', '191', '665', '883', '782', '562', '62', '652', '787', '228', '132', '87', '0', '951']
['991', '807', '303', '468', '353', '939', '535', '248', '622', '859', '20', '243', '299', '93', '463', '670', '778', '2', '817', '690', '290', '102', '827', '828', '259', '552', '178', '307', '759', '935', '486', '168', '677', '491', '852', '147', '864', '326', '549', '969', '553', '358', '72', '257', '558', '25', '466', '716', '736', '955']
['990', '223', '309', '320', '413', '300', '577', '419', '776', '145', '284', '875', '268', '600', '196', '85', '814', '408', '108', '470', '697', '788', '82', '73', '548', '414', '234', '901', '375', '667', '105', '51', '35', '367', '683', '976', '831', '81', '127', '719', '75', '530', '890', '929', '226', '944', '907', '349', '623', '352']
['99', '389', '278', '185', '590', '765', '820', '77', '253', '615', '593', '252', '273', '136', '751', '746', '282', '745', '606', '141', '633', '64', '730', '402', '584', '956', '676', '737', '38', '32', '876', '441', '934', '260', '781', '428', '674', '661', '738', '506', '78', '244', '873', '455', '954', '953', '639', '225', '103', '30']
['989', '246', '945', '207', '547', '229', '328', '721', '888', '276', '522', '304', '698', '761', '709', '911', '531', '961', '217', '449', '202', '356', '485', '179', '48', '832', '555', '114', '29', '860', '511', '80', '63', '115', '740', '5', '933', '795', '381', '182', '76', '342', '17', '245', '618', '543', '619', '675', '747', '957']
['988', '165', '513', '117', '949', '374', '312', '701', '157', '668', '364', '435', '163', '333', '748', '525', '923', '444', '866', '510', '725', '410', '496', '275', '289', '118', '607', '164', '286', '297', '337', '794', '155', '169', '950', '22', '12', '423', '149', '575', '404', '434', '416', '775', '209', '138', '764', '477', '438', '870']
['987', '821', '844', '613', '654', '892', '848', '345', '833', '684', '557', '642', '267', '1', '672', '732', '308', '67', '269', '242', '8', '856', '376', '822', '194', '454', '514', '581', '811', '52', '592', '239', '585', '140', '645', '968', '393', '838', '378', '819', '865', '391', '692', '148', '894', '617', '886', '37', '27', '596']
['986', '175', '708', '948', '310', '462', '779', '193', '394', '287', '545', '360', '341', '316', '208', '621', '801', '921', '569', '979', '473', '363', '616', '61', '144', '351', '96', '920', '222', '749', '717', '385', '516', '130', '460', '772', '69', '768', '59', '648', '799', '826', '111', '212', '694', '453', '456', '554', '188', '348']
['985', '177', '790', '792', '909', '479', '503', '44', '803', '560', '150', '33', '519', '649', '314', '9', '809', '874', '895', '237', '916', '533', '251', '480', '527', '192', '166', '528', '834', '4', '550', '882', '932', '3', '710', '100', '350', '922', '785', '49', '713', '539', '474', '919', '910', '231', '760', '478', '357', '655']
['984', '729', '902', '631', '952', '609', '322', '914', '498', '582', '133', '723', '918', '626', '443', '720', '71', '849', '842', '881', '271', '974', '758', '517', '544', '651', '249', '598', '167', '464', '680', '420', '371', '964', '21', '504', '383', '571', '97', '839', '379', '382', '540', '429', '298', '330', '311', '129', '232', '340']
['983', '263', '926', '57', '198', '808', '715', '823', '576', '843', '116', '627', '266', '846', '967', '962', '162', '36', '318', '332', '898', '638', '753', '206', '241', '573', '215', '292', '700', '214', '106', '561', '336', '60', '272', '867', '151', '68', '329', '707', '611', '769', '840', '521', '829', '741', '86', '343', '634', '542']
['982', '610', '791', '804', '361', '431', '499', '181', '137', '405', '662', '415', '54', '532', '84', '437', '432', '372', '802', '494', '176', '335', '669', '899', '529', '583', '288', '450', '727', '124', '595', '841', '377', '693', '219', '439', '457', '305', '347', '483', '465', '816', '797', '489', '872', '295', '763', '734', '564', '777']
['981', '567', '368', '55', '104', '430', '868', '354', '126', '274', '837', '493', '14', '427', '586', '501', '714', '291', '810', '325', '495', '482', '597', '541', '800', '373', '847', '174', '924', '879', '296', '334', '327', '973', '142', '754', '26', '925', '640', '733', '7', '101', '388', '74', '629', '476', '912', '635', '409', '227']
['980', '942', '938', '369', '122', '805', '235', '190', '395', '977', '258', '687', '664', '643', '524', '95', '762', '726', '871', '702', '551', '515', '172', '877', '937', '365', '904', '445', '384', '484', '869', '959', '90', '735', '113', '461', '397', '56', '161', '110', '475', '28', '123', '143', '500', '887', '236', '366', '603', '338']
['98', '878', '256', '317', '472', '189', '893', '507', '112', '173', '261', '6', '153', '862', '134', '978', '213', '406', '556', '121', '936', '900', '509', '270', '798', '773', '264', '154', '446', '601', '344', '743', '963', '254', '331', '66', '770', '830', '930', '688', '857', '319', '201', '107', '13', '628', '34', '10', '999']
