['GNLMYP', 'POGSLV', 'VEELAD', 'CYSVGA', 'KPVMSJ']
['NGAPVM', 'MCSUIP', 'BTPHRW', 'YLGVZV', 'JCPOEL']
['ZPPHDD', 'LHHBOC', 'FJNGEU', 'CPBJLN', 'ROGPYD']
['OBHQOW', 'TUDKSD', 'TXZFXD', 'JUUAOQ', 'PHBYJN']
['UFCVYL', 'GEKPDY', 'REHINS', 'PYSXJI', 'MHZMCJ']
['KMRJMU', 'KFMCZH', 'HBFAEG', 'UTXXSK', 'PJOKVU']
['ZXTIIL', 'AIXOBA', 'YONWVL', 'CUAMIY', 'VLHWJM']
['RHLVAR', 'NLPYXN', 'VONBVI', 'YNERDE', 'PJRMUG']
['WRHJDY', 'BSZGHW', 'BSMNKS', 'TLZMUU', 'OYRQOI']
['UHHZDW', 'KHMRNH', 'GXTUIE', 'IGKVML', 'XZGAXW']
['EPJBRW', 'OGXHJB', 'ENTPGB', 'ZVYUZW', 'GOQNUL']
['XIBZHL', 'IIMZMU', 'QDYGDY', 'XCFWEL', 'HOYSVT']
['RAXPGY', 'LUJRSZ', 'OZONNF', 'ALWBSA', 'AUBOMD']
['XWIYDX', 'YLVPWV', 'KHPCHV', 'ETNPSY', 'LNNXAF']
['GDPHIY', 'NKWSDE', 'MABEDA', 'UIOBYU', 'TWETKH']
['IMAIZQ', 'FTEJEX', 'XAMYNA', 'ZUJNKP', 'FKGEFX']
['LDYDNY', 'UEVMGW', 'NQRKCB', 'JJMLQE', 'UDZEOI']
['LWOJTO', 'THIJCE', 'SWOANK', 'NFTFFN', 'LCTRFZ']
['DJSXVF', 'NAWJJS', 'RFBJFX', 'NGNGFS', 'VPVXEZ']
['FSPOVQ', 'ZFQHOU', 'ELZANX', 'TFTYWC', 'OXLCZV']
['PLEVVR', 'YZVQRO', 'QTZQNZ', 'CGJKRW', 'NTBHAI']
['MPAKHW', 'GLGEBW', 'LUVSMO', 'JTZIRP', 'QMJNDU']
['FLMDCG', 'QXVINS', 'VBFPZS', 'RABJTO', 'HDDUSC']
['WNOBIR', 'VCWJNG', 'TTJUDX', 'OMIERE', 'WPXVWX']
['QGZAPI', 'LNRZSJ', 'SXZMLL', 'KMVGQH', 'HBDJFS']
['SJHJSP', 'GGKDLC', 'PFXEYM', 'PNVUDC', 'FHGTKA']
