['82', '139', '1', '2', '204', '20', '27', '60', '154', '233', '55', '202', '207', '32', '53', '44', '119', '10', '176', '95', '76', '9', '49', '42', '106', '17', '77', '5', '98', '367', '7', '73', '90', '3', '177', '13', '24', '39', '161', '91', '168', '88', '124', '97', '136', '170', '16', '25', '11', '147', '23', '229', '174', '316', '201', '43', '18', '87', '184', '265', '8', '30', '51', '62', '52', '4', '57', '83', '6', '15', '78', '48', '158', '54', '72', '93', '63', '12', '99', '29']
['254', '699', '164', '104', '368', '64', '528', '38', '69', '66', '40', '74', '213', '0', '31', '68', '112', '110', '261', '75', '114', '398', '81', '132', '50', '151', '47', '33', '121', '166', '56', '536', '22', '59', '58', '171', '94', '197', '295', '337', '416', '130', '79', '227', '113', '341', '357', '118', '14', '21', '28', '41', '224', '189', '70', '456', '210', '354', '351', '117', '160', '291', '247', '191', '89', '211', '653', '36', '666', '85', '250', '19', '134', '108', '287', '35', '190', '288', '61', '67']
['216', '290', '172', '243', '100', '144', '102', '141', '128', '509', '71', '801', '84', '86', '150', '46', '157', '175', '143', '181', '138', '222', '159', '345', '126', '380', '332', '597', '26', '249', '587', '133', '167', '804', '199', '196', '244', '179', '111', '165', '235', '101', '180', '163', '34', '260', '373', '65', '206', '231', '116', '314', '234', '252', '127', '245', '220', '795', '123', '268', '92', '45', '223', '153', '365', '103', '96', '37', '162', '115', '137', '214', '109', '156', '194', '208', '672', '225', '105', '712']
['350', '192', '305', '782', '215', '462', '203', '274', '683', '228', '815', '669', '417', '567', '140', '253', '219', '323', '256', '420', '575', '419', '347', '142', '487', '186', '185', '297', '361', '477', '356', '333', '480', '308', '255', '299', '242', '246', '677', '476', '183', '280', '236', '413', '378', '497', '262', '275', '273', '259', '348', '421', '302', '533', '830', '366', '640', '306', '266', '330', '129', '173', '668', '198', '353', '590', '289', '279', '469', '107', '322', '131', '148', '264', '125', '360', '269', '671', '182', '406']
['285', '226', '230', '258', '301', '218', '298', '169', '352', '217', '318', '490', '551', '221', '122', '800', '549', '328', '426', '771', '390', '379', '491', '492', '679', '281', '80', '311', '711', '449', '775', '754', '430', '459', '284', '647', '714', '282', '120', '146', '152', '624', '500', '539', '557', '440', '464', '655', '508', '682', '710', '270', '489', '272', '326', '135', '363', '267', '803', '336', '188', '621', '178', '237', '542', '411', '593', '525', '263', '320', '212', '209', '781', '239', '412', '271', '807', '149', '257', '277']
['381', '816', '370', '780', '454', '786', '766', '435', '616', '458', '709', '692', '720', '776', '400', '371', '598', '638', '296', '527', '538', '541', '514', '673', '342', '453', '155', '566', '407', '663', '405', '470', '472', '503', '558', '434', '504', '488', '513', '703', '770', '835', '521', '659', '448', '721', '704', '811', '819', '238', '248', '369', '446', '300', '499', '346', '403', '376', '484', '415', '431', '433', '195', '232', '534', '519', '837', '145', '451', '788', '676', '506', '510', '309', '392', '443', '438', '423', '498', '511']
['409', '630', '292', '283', '313', '756', '278', '543', '643', '665', '697', '520', '799', '737', '329', '806', '569', '560', '783', '481', '524', '444', '437', '620', '695', '315', '515', '717', '304', '427', '471', '474', '595', '389', '784', '205', '404', '494', '615', '639', '603', '452', '601', '396', '418', '701', '193', '792', '646', '572', '802', '384', '772', '395', '554', '821', '617', '729', '241', '773', '450', '286', '386', '355', '722', '359', '317', '310', '715', '475', '623', '436', '652', '293', '335', '730', '517', '383', '442', '523']
['324', '327', '765', '187', '599', '744', '833', '382', '505', '705', '577', '485', '518', '604', '614', '402', '325', '410', '486', '670', '690', '387', '556', '698', '768', '763', '602', '535', '546', '675', '591', '700', '460', '473', '349', '581', '343', '693', '583', '719', '385', '547', '307', '388', '785', '573', '562', '372', '401', '574', '681', '726', '375', '576', '463', '496', '522', '637', '738', '748', '502', '516', '818', '767', '331', '629', '585', '713', '798', '745', '553', '570', '834', '774', '608', '684', '596', '724', '777', '529']
['718', '594', '622', '755', '251', '501', '559', '685', '512', '829', '393', '796', '564', '467', '364', '688', '787', '612', '447', '708', '691', '812', '836', '762', '321', '495', '493', '686', '627', '732', '200', '563', '746', '791', '707', '334', '276', '761', '609', '694', '778', '779', '828', '658', '740', '739', '793', '769', '735', '374', '445', '424', '455', '631', '810', '429', '240', '312', '760', '362', '635', '394', '607', '642', '733', '303', '741', '319', '548', '764', '789', '439', '586', '397', '338', '428', '661', '432', '339', '797']
['606', '468', '422', '723', '831', '441', '645', '650', '425', '579', '461', '550', '582', '531', '820', '794', '743', '808', '408', '752', '657', '706', '728', '294', '344', '589', '805', '466', '747', '822', '530', '660', '662', '532', '809', '826', '742', '568', '757', '399', '340', '588', '628', '641', '482', '540', '414', '358', '478', '507', '526', '648', '552', '702', '664', '633', '832', '680', '734', '483', '571', '584', '580', '561', '457', '678', '814', '611', '725', '578', '537', '731', '613', '618', '377', '634', '656', '636', '619', '838']
['555', '600', '751', '465', '605', '632', '654', '753', '750', '758', '592', '391', '827', '759', '823', '565', '813', '716', '736', '825', '687', '674', '667', '626', '696', '817', '610', '479', '689', '727', '649', '839', '544', '644', '625', '651', '545', '824', '790', '749']
