['20', '112', '117', '181', '244', '274', '284', '325', '385', '561']
['121', '304', '337', '346', '427', '492', '636', '907', '977', '987']
['210', '230', '272', '307', '533', '567', '627', '728', '853', '931']
['9', '10', '108', '163', '292', '690', '818', '843', '869', '908']
['4', '24', '31', '52', '60', '213', '335', '366', '370', '452']
['67', '145', '194', '196', '554', '596', '882', '966', '967', '991']
['82', '136', '367', '482', '633', '657', '774', '789', '919', '947']
['111', '168', '328', '594', '662', '735', '800', '872', '887', '894']
['313', '358', '446', '680', '721', '772', '901', '930', '992', '994']
['43', '153', '408', '453', '486', '702', '888', '910', '989', '997']
['3', '72', '176', '180', '203', '262', '455', '630', '718', '904']
['188', '268', '300', '368', '419', '783', '865', '885', '941', '952']
['95', '206', '334', '409', '426', '438', '461', '467', '484', '675']
['23', '38', '59', '199', '227', '386', '457', '503', '515', '562']
['96', '266', '281', '344', '671', '674', '935', '948', '957', '963']
['197', '361', '506', '530', '564', '740', '742', '775', '825', '847']
['79', '183', '260', '414', '443', '493', '653', '694', '786', '891']
['63', '133', '161', '243', '250', '259', '280', '306', '502', '516']
['149', '233', '279', '372', '374', '474', '613', '795', '899', '975']
['254', '276', '507', '539', '641', '646', '703', '722', '854', '942']
['13', '14', '18', '340', '375', '510', '556', '619', '658', '664']
['22', '57', '71', '85', '158', '318', '321', '360', '390', '504']
['106', '190', '301', '336', '511', '642', '665', '706', '912', '917']
['6', '25', '591', '593', '601', '837', '944', '958', '961', '990']
['47', '212', '537', '597', '822', '900', '918', '972', '980', '984']
['107', '160', '258', '269', '437', '528', '605', '672', '713', '725']
['143', '490', '522', '570', '598', '736', '757', '763', '785', '828']
['37', '65', '152', '170', '267', '424', '583', '751', '857', '896']
['80', '202', '205', '209', '271', '441', '442', '538', '560', '578']
['100', '137', '331', '412', '470', '494', '568', '655', '790', '827']
['88', '135', '228', '270', '305', '362', '540', '576', '600', '777']
['54', '78', '157', '251', '327', '395', '458', '487', '632', '670']
['113', '198', '204', '235', '333', '365', '369', '519', '704', '714']
['69', '114', '125', '239', '240', '410', '448', '532', '551', '663']
['12', '120', '285', '326', '387', '397', '485', '606', '620', '625']
['447', '501', '626', '631', '686', '846', '871', '895', '926', '960']
['167', '171', '252', '377', '428', '476', '513', '677', '741', '752']
['1', '19', '34', '126', '127', '177', '293', '308', '311', '379']
['294', '373', '496', '535', '608', '644', '765', '821', '852', '903']
['70', '98', '310', '473', '509', '656', '707', '720', '760', '838']
['27', '35', '491', '609', '645', '730', '739', '909', '923', '932']
['74', '86', '829', '835', '868', '884', '950', '951', '959', '962']
['11', '92', '119', '195', '489', '692', '698', '758', '780', '860']
['5', '89', '151', '215', '273', '343', '400', '617', '673', '719']
['99', '389', '401', '407', '417', '418', '648', '679', '762', '807']
['33', '187', '248', '341', '421', '431', '460', '495', '701', '715']
['462', '481', '661', '737', '778', '792', '817', '874', '880', '969']
['73', '255', '283', '444', '543', '647', '691', '723', '733', '839']
['110', '148', '253', '422', '456', '566', '743', '755', '771', '816']
['15', '30', '45', '83', '238', '297', '464', '575', '685', '929']
['144', '317', '356', '477', '684', '697', '724', '781', '859', '862']
['53', '286', '338', '394', '565', '640', '676', '749', '812', '864']
['572', '579', '588', '712', '770', '814', '830', '875', '902', '925']
['140', '219', '391', '471', '536', '618', '659', '700', '794', '833']
['41', '130', '225', '277', '332', '449', '472', '571', '621', '773']
['84', '192', '278', '291', '378', '689', '738', '753', '805', '937']
['159', '164', '237', '309', '329', '348', '371', '405', '468', '483']
['42', '165', '200', '748', '756', '802', '808', '824', '840', '945']
['162', '186', '376', '705', '750', '759', '831', '841', '845', '897']
['50', '118', '245', '381', '399', '469', '478', '500', '544', '652']
['17', '61', '352', '382', '553', '615', '870', '889', '940', '956']
['169', '217', '435', '563', '592', '607', '651', '696', '764', '844']
['68', '109', '128', '139', '141', '314', '396', '406', '433', '811']
['40', '46', '173', '211', '220', '402', '603', '669', '716', '744']
['44', '62', '155', '189', '214', '525', '529', '574', '708', '766']
['91', '166', '174', '231', '263', '541', '787', '815', '820', '861']
['26', '299', '363', '465', '499', '666', '729', '746', '842', '905']
['16', '134', '138', '142', '242', '295', '380', '555', '779', '911']
['257', '347', '359', '545', '558', '629', '639', '761', '803', '848']
['129', '216', '322', '650', '788', '813', '850', '938', '939', '943']
['55', '201', '445', '754', '826', '863', '922', '924', '964', '973']
['56', '226', '479', '531', '589', '602', '649', '734', '791', '876']
['64', '508', '514', '549', '668', '711', '798', '878', '953', '955']
['172', '182', '466', '585', '586', '624', '784', '867', '906', '915']
['2', '104', '287', '288', '345', '353', '392', '429', '527', '709']
['39', '76', '236', '319', '547', '559', '569', '638', '683', '866']
['147', '179', '246', '265', '693', '851', '855', '877', '927', '971']
['29', '93', '103', '123', '146', '357', '416', '517', '521', '524']
['94', '184', '229', '384', '388', '550', '552', '582', '717', '782']
['290', '324', '488', '580', '678', '776', '873', '883', '916', '936']
['302', '320', '415', '497', '505', '534', '546', '801', '914', '933']
['49', '58', '234', '298', '303', '413', '634', '635', '637', '667']
['124', '398', '454', '623', '710', '731', '732', '893', '949', '986']
['75', '97', '296', '475', '548', '590', '879', '954', '970', '985']
['28', '51', '122', '261', '323', '339', '354', '364', '383', '393']
['480', '587', '616', '699', '881', '978', '979', '982', '993', '995']
['115', '208', '249', '577', '796', '832', '849', '898', '946', '965']
['81', '90', '154', '175', '423', '611', '628', '681', '804', '806']
['7', '241', '315', '432', '584', '745', '799', '836', '856', '934']
['512', '687', '747', '968', '983', '988', '996', '998', '999', '1000']
['87', '191', '193', '439', '463', '523', '595', '643', '660', '688']
['21', '102', '330', '434', '450', '809', '810', '834', '886', '913']
