['545', '435', '411', '745', '469', '79', '138', '87', '806', '235', '404', '505', '672', '679', '22', '416', '95', '683', '109', '149', '409', '308', '58', '815', '445', '186', '874', '622', '26', '634', '230', '325', '272', '54', '182', '705', '147', '101', '126', '860', '686', '568', '128', '486']
['798', '198', '220', '231', '140', '544', '349', '660', '44', '8', '875', '427', '356', '490', '680', '807', '46', '352', '450', '770', '759', '458', '374', '712', '281', '691', '718', '583', '534', '847', '48', '723', '90', '431', '506', '654', '21', '607', '303', '62', '207', '38', '226', '429']
['52', '92', '579', '229', '719', '800', '64', '15', '489', '295', '185', '318', '36', '139', '353', '788', '537', '441', '780', '652', '574', '801', '648', '32', '383', '440', '764', '494', '144', '6', '210', '51', '363', '497', '291', '76', '647', '344', '241', '455', '307', '213', '866', '173']
['732', '250', '704', '83', '223', '334', '518', '306', '49', '93', '296', '232', '432', '757', '742', '63', '59', '193', '110', '863', '831', '774', '285', '554', '20', '675', '516', '61', '370', '716', '206', '358', '289', '1', '259', '559', '135', '488', '730', '563', '332', '748', '385', '145']
['309', '703', '4', '459', '493', '531', '585', '816', '491', '473', '779', '621', '195', '576', '540', '196', '879', '628', '47', '214', '175', '624', '777', '644', '854', '119', '844', '160', '23', '279', '161', '136', '681', '791', '721', '789', '80', '348', '425', '364', '43', '7', '302', '598']
['485', '817', '495', '238', '778', '608', '481', '512', '99', '244', '503', '412', '310', '426', '845', '636', '790', '125', '877', '626', '754', '265', '155', '872', '315', '408', '735', '360', '609', '727', '522', '42', '73', '421', '181', '665', '530', '525', '156', '653', '157', '603', '826', '30']
['841', '424', '532', '627', '382', '12', '414', '159', '312', '611', '596', '94', '292', '805', '299', '256', '809', '842', '784', '710', '825', '535', '709', '820', '251', '165', '278', '792', '258', '662', '413', '542', '483', '172', '354', '280', '766', '836', '633', '572', '713', '433', '53', '199']
['575', '150', '804', '222', '211', '793', '293', '69', '656', '132', '389', '237', '640', '191', '837', '201', '741', '569', '786', '224', '824', '192', '588', '297', '249', '387', '548', '39', '564', '401', '796', '571', '463', '391', '396', '436', '357', '584', '324', '262', '56', '345', '724', '614']
['641', '479', '373', '366', '655', '203', '141', '453', '343', '592', '120', '204', '174', '209', '668', '595', '339', '760', '865', '758', '508', '578', '327', '511', '797', '832', '313', '50', '117', '663', '257', '304', '35', '217', '763', '678', '269', '616', '642', '853', '419', '810', '876', '513']
['667', '549', '208', '361', '151', '813', '2', '747', '446', '587', '773', '264', '346', '617', '86', '106', '711', '772', '871', '527', '287', '838', '594', '305', '0', '113', '328', '848', '88', '439', '475', '731', '115', '321', '70', '673', '337', '577', '477', '202', '867', '314', '19', '342']
['555', '282', '684', '84', '460', '420', '739', '696', '470', '751', '371', '447', '225', '247', '829', '615', '428', '541', '623', '864', '767', '726', '671', '423', '130', '722', '676', '111', '769', '698', '737', '40', '733', '67', '142', '180', '329', '474', '852', '14', '28', '552', '286', '762']
['133', '828', '715', '276', '794', '629', '443', '756', '118', '163', '761', '666', '869', '243', '840', '452', '77', '521', '11', '514', '407', '689', '319', '467', '519', '245', '228', '693', '795', '212', '260', '178', '586', '811', '775', '669', '834', '599', '765', '123', '234', '367', '808', '34']
['268', '862', '619', '376', '819', '248', '448', '685', '484', '823', '618', '105', '148', '562', '351', '81', '261', '631', '266', '517', '476', '300', '377', '189', '102', '240', '694', '650', '818', '275', '843', '400', '462', '417', '472', '785', '492', '546', '728', '405', '316', '78', '674', '846']
['187', '271', '606', '267', '610', '523', '695', '466', '323', '146', '134', '643', '520', '154', '605', '802', '415', '664', '487', '399', '851', '96', '753', '380', '454', '253', '72', '107', '274', '112', '97', '100', '456', '103', '651', '347', '127', '850', '558', '341', '350', '873', '397', '131']
['639', '331', '320', '750', '322', '787', '66', '91', '162', '270', '177', '468', '164', '359', '849', '379', '658', '768', '183', '524', '381', '602', '855', '557', '68', '398', '311', '108', '317', '17', '861', '89', '496', '744', '729', '378', '194', '41', '550', '581', '725', '501', '188', '690']
['600', '335', '539', '45', '190', '395', '657', '538', '570', '24', '827', '239', '632', '699', '543', '604', '649', '152', '410', '526', '630', '169', '227', '16', '437', '176', '593', '375', '330', '510', '422', '200', '645', '27', '547', '625', '55', '384', '582', '482', '507', '252', '714', '298']
['868', '368', '743', '74', '221', '752', '288', '442', '33', '601', '803', '122', '60', '597', '635', '707', '670', '263', '171', '326', '740', '153', '158', '449', '18', '859', '677', '255', '799', '9', '590', '781', '749', '392', '283', '566', '290', '706', '591', '394', '170', '236', '340', '390']
['5', '533', '104', '878', '116', '620', '553', '498', '561', '478', '430', '567', '515', '746', '738', '551', '700', '372', '98', '406', '10', '556', '776', '833', '814', '835', '369', '71', '638', '273', '85', '782', '215', '461', '355', '25', '465', '29', '205', '294', '167', '536', '646', '502']
['755', '438', '708', '857', '839', '697', '717', '661', '143', '464', '500', '771', '573', '783', '418', '57', '687', '284', '37', '499', '434', '444', '471', '3', '659', '179', '589', '75', '129', '612', '701', '830', '812', '166', '403', '137', '821', '528', '688', '338', '529', '13', '736', '114']
['362', '277', '365', '402', '509', '734', '197', '613', '457', '121', '692', '393', '233', '124', '336', '504', '858', '856', '580', '560', '242', '65', '246', '682', '480', '184', '822', '31', '218', '168', '565', '219', '82', '451', '301', '388', '637', '333', '720', '386', '870', '254', '702', '216']
